CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CD_ATIVO;DS_ATIVO;QT_POS_FINAL;VL_MERC_POS_FINAL;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC
02010153000145;BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL RESPONSABILIDADE LIMITADA;PETR4;PETROBRAS PN;0;0;28000.0;1001000.0;0.0;0.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;ABEV3;AMBEV S/A    ON;23570;2689337;0.0;0.0;1000.0;11240.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;BEEF3;MINERVA      ON      NM;1400;9352;0.0;0.0;100.0;608.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;FLRY3;FLEURY       ON      NM;1300;19539;0.0;0.0;100.0;1395.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;LREN3;LOJAS RENNER ON      NM;5070;632736;0.0;0.0;200.0;2488.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;SBSP3;SABESP       ON      NM;1850;1386945;0.0;0.0;100.0;7477.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;UGPA3;ULTRAPAR     ON      NM;5820;125712;0.0;0.0;200.0;4332.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;ARZZ3;AREZZO CO    ON      NM;300;15405;0.0;0.0;0.0;0.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;BBAS3;BRASIL       ON      NM;15300;408663;0.0;0.0;700.0;18494.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;CCRO3;CCR SA       ON  ED  NM;5350;62274;0.0;0.0;200.0;2316.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;CRFB3;CARREFOUR BR ON      NM;2900;26158;0.0;0.0;200.0;1850.0
02661252000197;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;CSNA3;SID NACIONAL ON;3200;41312;0.0;0.0;100.0;1188.0
