CD_ATIVO
AMER3
ALPK3
CLSC3
CLSC4
BRAV3
EMBR3
HAPV3
JBSS3
LREN3
MRFG3
NTCO3
RAIL3
SLCE3
TIMS3
ALOS3
ASAI3
B3SA3
BBSE3
BRFS3
CPLE3
CSAN3
ECOR3
IRBR3
PRIO3
RENT3
UGPA3
VALE3
AZZA3
BBAS3
DIRR3
ENEV3
EQTL3
HYPE3
MULT3
RADL3
STBP3
SUZB3
VIVA3
WEGE3
YDUQ3
ABEV3
BBDC3
CCRO3
CURY3
CXSE3
ELET3
GMAT3
INTB3
PETR3
PETZ3
PSSA3
RECV3
SBSP3
TOTS3
VBBR3
VIVT3
VULC3
ITSA4
ITUB4
BRKM5
GOAU4
PETR4
BBDC4
ELET6
GGBR4
CMIG4
CPLE6
POMO4
MRVE3
BEEF3
LWSA3
AURE3
CRFB3
FLRY3
RDOR3
CSNA3
CVCB3
COGN3
CPFE3
MGLU3
PCAR3
CMIN3
CYRE3
AMOB3
EGIE3
SMTO3
VAMO3
USIM5
BRAP4
AZUL4
RAIZ4
ISAE4
AMBP3
CEAB3
CSMG3
EZTC3
GGPS3
MOVI3
ONCO3
SMFT3
TEND3
ALPA4
ANIM3
MEAL3
ORVR3
SIMH3
SRNA3
ABCB4
BPAN4
GSHP3
PTBL3
PTNT3
SHOW3
BRSR6
PTNT4
DESK3
PNVL3
CEBR3
COCE5
FRAS3
MDNE3
PRNR3
ITUB3
KEPL3
MDIA3
ELMD3
MLAS3
ENGI4
CGRA3
CGRA4
OIBR3
TTEN3
SCAR3
CEEB3
MELK3
NEOE3
POMO3
POSI3
TECN3
TGMA3
VITT3
WEST3
MYPK3
QUAL3
TUPY3
RAPT4
OPCT3
ARML3
TFCO4
ELET5
ALPA3
ENJU3
HBRE3
HBSA3
VVEO3
BHIA3
JALL3
EUCA3
EKTR3
CSED3
AFLT3
EUCA4
EKTR4
CEEB5
RAPT3
BDLL4
DOHL4
VSTE3
BIOM3
EVEN3
PLPL3
ITSA3
EMAE3
BPAC5
GUAR3
LJQQ3
KRSA3
MATD3
PORT3
DASA3
TASA4
VLID3
ODPV3
JHSF3
CAML3
CBAV3
ETER3
GGBR3
GOAU3
LPSB3
TASA3
UCAS3
CRPG5
UNIP6
WHRL4
PFRM3
SJOS4
GFSA3
HBOR3
MTRE3
IFCM3
TELB3
TELB4
MILS3
LAVV3
CSUD3
LIGT3
DXCO3
SHUL4
DOTZ3
INEP3
LVTC3
KLBN3
LOGG3
SANB3
SAPR3
SOJA3
TAEE3
KLBN4
SANB4
SAPR4
TAEE4
CAMB3
CALI3
AVLL3
JFEN3
SBFG3
SYNE3
OFSA3
MTSA3
HAGA4
MGEL4
MTSA4
AGRO3
BIED3
LEVE3
RANI3
SEER3
BMGB4
BLAU3
CMIG3
GRND3
MEND6
JSLG3
FESA4
AERI3
BMOB3
CLSA3
ESPA3
FHER3
MBLY3
PGMN3
RCSL3
TRIS3
UNIP3
ZAMP3
GOLL4
RSID3
PASS6
UNIP5
LOGN3
FIQE3
AMAR3
TCSA3
VTRU3
IGTI3
EMAE4
BAUH4
EQMA3B
WHRL3
BMEB4
LAND3
MOAR3
ENMT3
AALR3
LUXM4
PMAM3
AGXY3
ALLD3
CASH3
BRST3
DEXP3
DMVF3
LUPA3
MNDL3
NUTR3
INEP4
PTSL4
AZEV3
AZEV4
GEPA3
LIPR3
MSPA3
IMBI4
MSPA4
NGRD3
TRAD3
WIZC3
RDNI3
CTNM4
EGGY3
TKNO4
ENGI3
USIM3
RCSL4
VIVR3
REAG3
NINJ3
ENMT4
SEQL3
AESB3
EQPA3
ROMI3
EALT4
BOBR4
BRAP3
PINE4
MNPR3
TPIS3
CEBR6
PINE3
CGAS5
OIBR4
BEES3
PDTC3
BGIP4
CEDO4
GEPA4
NEXP3
FRIO3
ALUP3
RNEW3
ALUP4
IGTI4
RNEW4
RPMG3
ATMP3
BRKM3
ISAE3
PDGR3
BSLI4
BSLI3
CTNM3
CEBR5
BAZA3
MAGG3
BPAR3
MSTR3
REDE3
HAGA3
FIEI3
FBMC4
SGPS3
COCE3
CEGR3
CEED4
ESTR4
CEED3
MRSA3B
MRSA6B
MRSA5B
PASS5
EPAR3
BALM4
BNBR3
CBEE3
CTKA4
BMEB3
TXRX4
SCLO4
MWET4
OPSE3
EQPA5
MERC4
CRPG6
RSUL4
WLMM4
LAME4
ATED3
FICT3
BPAC3
BRSR3
SNSY3
BRKM6
CPLE5
DEXP4
FESA3
TKNO3
SNSY5
MNZC3
PLAS3
APTI4
JOPA4
