CD_ATIVO;Setor;Industria
PETR4;Energy;Oil & Gas Integrated
ABEV3;Consumer Defensive;Beverages - Brewers
BEEF3;Consumer Defensive;Farm Products
FLRY3;Healthcare;Diagnostics & Research
LREN3;Consumer Cyclical;Department Stores
SBSP3;Utilities;Utilities - Regulated Water
UGPA3;Energy;Oil & Gas Refining & Marketing
ARZZ3;;
BBAS3;Financial Services;Banks - Regional
CCRO3;;
CRFB3;;
CSNA3;Basic Materials;Steel
CYRE3;Consumer Cyclical;Residential Construction
HYPE3;Healthcare;Drug Manufacturers - Specialty & Generic
MGLU3;Consumer Cyclical;Specialty Retail
WEGE3;Industrials;Electrical Equipment & Parts
ALOS3;Real Estate;Real Estate Services
BBSE3;Financial Services;Insurance - Diversified
SMTO3;Basic Materials;Specialty Chemicals
BBDC3;Financial Services;Banks - Regional
CVCB3;Consumer Cyclical;Travel Services
EMBR3;Industrials;Aerospace & Defense
EQTL3;Utilities;Utilities - Regulated Electric
VAMO3;Industrials;Rental & Leasing Services
BRFS3;Consumer Defensive;Packaged Foods
CMIN3;Basic Materials;Steel
CSAN3;Energy;Oil & Gas Refining & Marketing
ENEV3;Utilities;Utilities - Diversified
EZTC3;Real Estate;Real Estate - Development
PRIO3;Energy;Oil & Gas E&P
RDOR3;Healthcare;Medical Care Facilities
TOTS3;Technology;Software - Application
VALE3;Basic Materials;Other Industrial Metals & Mining
JBSS3;;
PCAR3;Consumer Cyclical;Department Stores
EGIE3;Utilities;Utilities - Renewable
MRFG3;Consumer Defensive;Packaged Foods
SLCE3;Consumer Defensive;Farm Products
TIMS3;Communication Services;Telecom Services
VBBR3;Consumer Cyclical;Specialty Retail
VIVA3;Consumer Cyclical;Luxury Goods
YDUQ3;Consumer Defensive;Education & Training Services
B3SA3;Financial Services;Financial Data & Stock Exchanges
CIEL3;;
ASAI3;Consumer Defensive;Grocery Stores
ELET3;Utilities;Utilities - Renewable
PETR3;Energy;Oil & Gas Integrated
RAIL3;Industrials;Railroads
RRRP3;;
COGN3;Consumer Defensive;Education & Training Services
HAPV3;Financial Services;Insurance - Life
NTCO3;;
RECV3;Energy;Oil & Gas E&P
